Designator,Mid X,Mid Y,Rotation,Layer
C1,74.77,-71.69,0.0,top
C10,89.75,-82.5,0.0,top
C11,89.75,-83.5,0.0,top
C12,89.75,-84.5,0.0,top
C13,80.5,-88.25,180.0,top
C14,78.5,-89.75,270.0,top
C15,79.5,-89.75,270.0,top
C16,81.5,-89.75,270.0,top
C17,78.5,-91.75,90.0,top
C18,80.5,-91.73,90.0,top
C19,79.5,-91.75,90.0,top
C2,76.75,-74.5,0.0,top
C20,80.5,-89.75,270.0,top
C21,95.75,-87.0,180.0,top
C22,97.5,-84.27,90.0,top
C23,64.25,-95.48,270.0,top
C24,69.5,-82.48,270.0,top
C25,75.5,-77.5,0.0,top
C26,90.6125,-73.5,180.0,top
C27,92.7825,-71.75,0.0,top
C28,92.8025,-70.75,0.0,top
C29,94.8025,-70.75,180.0,top
C3,76.77,-71.69,180.0,top
C4,83.0,-67.0,0.0,top
C5,83.0,-68.0,0.0,top
D1,84.0,-94.0,90.0,top
D2,85.25,-94.0,90.0,top
D3,86.5,-94.0,90.0,top
FB1,69.5,-89.75,270.0,top
FL1,86.33,-71.75,270.0,top
J1,64.07,-85.25,270.0,top
J2,97.75,-70.75,0.0,top
L1,76.75,-72.69,0.0,top
L2,84.75,-68.25,270.0,top
L4,94.8025,-71.75,0.0,top
R10,85.25,-92.0,270.0,top
R11,86.5,-92.0,270.0,top
R12,90.6125,-74.5,0.0,top
R2,87.0,-82.0,90.0,top
R3,70.0,-84.5,0.0,top
R4,70.0,-86.0,180.0,top
R5,95.25,-82.0,180.0,top
R6,76.75,-86.5,270.0,top
R7,71.75,-83.0,0.0,top
R8,69.5,-87.75,90.0,top
R9,84.0,-92.0,270.0,top
SW1,92.0,-91.625,270.0,top
SW2,75.75,-93.375,270.0,top
U1,81.1,-72.4,0.0,top
U2,82.0625,-83.15,180.0,top
U4,67.75,-97.20625,0.0,top
U5,72.95,-79.3875,270.0,top
U6,89.8625,-71.75,180.0,top
Y1,79.75,-67.0,90.0,top
Y2,94.85,-84.35,0.0,top
